"","location","year","forest_area","arable_area","grassland_area","freshwater_area","urban_area","other_area"
"1","T01","1990",593594.464,9247314.415,8118919.716,37529.671,1336680.919,0
"2","T01","1991",597372.28544,9382846.4384,7970402.04736,37304.48416,1346113.04224,0
"3","T01","1992",601150.10688,9518378.4618,7821884.37872,37079.29732,1355545.16548,0
"4","T01","1993",604927.92832,9653910.4852,7673366.71008,36854.11048,1364977.28872,0
"5","T01","1994",608705.74976,9789442.5086,7524849.04144,36628.92364,1374409.41196,0
"6","T01","1995",612483.5712,9924974.532,7376331.3728,36403.7368,1383841.5352,0
"7","T01","1996",616261.39264,10060506.5554,7227813.70416,36178.54996,1393273.65844,0
"8","T01","1997",620039.21408,10196038.5788,7079296.03552,35953.36312,1402705.78168,0
"9","T01","1998",623817.03552,10331570.6022,6930778.36688,35728.17628,1412137.90492,0
"10","T01","1999",627594.85696,10467102.6256,6782260.69824,35502.98944,1421570.02816,0
"11","T01","2000",631372.6784,10602634.649,6633743.0296,35277.8026,1431002.1514,0
"12","T01","2001",635150.49984,10738166.6724,6485225.36096,35052.61576,1440434.27464,0
"13","T01","2002",638928.32128,10873698.6958,6336707.69232,34827.42892,1449866.39788,0
"14","T01","2003",642706.14272,11009230.7192,6188190.02368,34602.24208,1459298.52112,0
"15","T01","2004",646483.96416,11144762.7426,6039672.35504,34377.05524,1468730.64436,0
"16","T01","2005",650261.7856,11280294.766,5891154.6864,34151.8684,1478162.7676,0
"17","T01","2006",654039.60704,11415826.7894,5742637.01776,33926.68156,1487594.89084,0
"18","T01","2007",657817.42848,11551358.8128,5594119.34912,33701.49472,1497027.01408,0
"19","T01","2008",661595.24992,11686890.8362,5445601.68048,33476.30788,1506459.13732,0
"20","T01","2009",665373.07136,11822422.8596,5297084.01184,33251.12104,1515891.26056,0
"21","T01","2010",669150.8928,11957954.883,5148566.3432,33025.9342,1525323.3838,0
"22","T01","2011",672928.71424,12093486.9064,5000048.67456,32800.74736,1534755.50704,0
"23","T01","2012",676706.53568,12229018.9298,4851531.00592,32575.56052,1544187.63028,0
"24","T01","2013",680484.35712,12364550.9532,4703013.33728,32350.37368,1553619.75352,0
"25","T01","2014",684262.17856,12500082.9766,4554495.66864,32125.18684,1563051.87676,0
"26","T01","2015",688040,12635615,4405978,31900,1572484,0
"27","T02","1990",1761359.901,73181.813,17385873.515,66301.154,25644.741,0
"28","T02","1991",1781200.18076,72856.55224,17367109.11608,66025.94164,25169.37548,0
"29","T02","1992",1801040.46052,72531.29148,17348344.71716,65750.72928,24694.00996,0
"30","T02","1993",1820880.74028,72206.03072,17329580.31824,65475.51692,24218.64444,0
"31","T02","1994",1840721.02004,71880.76996,17310815.91932,65200.30456,23743.27892,0
"32","T02","1995",1860561.2998,71555.5092,17292051.5204,64925.0922,23267.9134,0
"33","T02","1996",1880401.57956,71230.24844,17273287.12148,64649.87984,22792.54788,0
"34","T02","1997",1900241.85932,70904.98768,17254522.72256,64374.66748,22317.18236,0
"35","T02","1998",1920082.13908,70579.72692,17235758.32364,64099.45512,21841.81684,0
"36","T02","1999",1939922.41884,70254.46616,17216993.92472,63824.24276,21366.45132,0
"37","T02","2000",1959762.6986,69929.2054,17198229.5258,63549.0304,20891.0858,0
"38","T02","2001",1979602.97836,69603.94464,17179465.12688,63273.81804,20415.72028,0
"39","T02","2002",1999443.25812,69278.68388,17160700.72796,62998.60568,19940.35476,0
"40","T02","2003",2019283.53788,68953.42312,17141936.32904,62723.39332,19464.98924,0
"41","T02","2004",2039123.81764,68628.16236,17123171.93012,62448.18096,18989.62372,0
"42","T02","2005",2058964.0974,68302.9016,17104407.5312,62172.9686,18514.2582,0
"43","T02","2006",2078804.37716,67977.64084,17085643.13228,61897.75624,18038.89268,0
"44","T02","2007",2098644.65692,67652.38008,17066878.73336,61622.54388,17563.52716,0
"45","T02","2008",2118484.93668,67327.11932,17048114.33444,61347.33152,17088.16164,0
"46","T02","2009",2138325.21644,67001.85856,17029349.93552,61072.11916,16612.79612,0
"47","T02","2010",2158165.4962,66676.5978,17010585.5366,60796.9068,16137.4306,0
"48","T02","2011",2178005.77596,66351.33704,16991821.13768,60521.69444,15662.06508,0
"49","T02","2012",2197846.05572,66026.07628,16973056.73876,60246.48208,15186.69956,0
"50","T02","2013",2217686.33548,65700.81552,16954292.33984,59971.26972,14711.33404,0
"51","T02","2014",2237526.61524,65375.55476,16935527.94092,59696.05736,14235.96852,0
"52","T02","2015",2257366.895,65050.294,16916763.542,59420.845,13760.603,0
"53","T03","1990",1689979.556,3273750.101,12712025.494,246156.403,1307628.54,63101.117
"54","T03","1991",1719643.19024,3290768.93112,12648249.572,243232.51232,1330169.9302,60577.07232
"55","T03","1992",1749306.82448,3307787.76124,12584473.65,240308.62164,1352711.3204,58053.02764
"56","T03","1993",1778970.45872,3324806.59136,12520697.728,237384.73096,1375252.7106,55528.98296
"57","T03","1994",1808634.09296,3341825.42148,12456921.806,234460.84028,1397794.1008,53004.93828
"58","T03","1995",1838297.7272,3358844.2516,12393145.884,231536.9496,1420335.491,50480.8936
"59","T03","1996",1867961.36144,3375863.08172,12329369.962,228613.05892,1442876.8812,47956.84892
"60","T03","1997",1897624.99568,3392881.91184,12265594.04,225689.16824,1465418.2714,45432.80424
"61","T03","1998",1927288.62992,3409900.74196,12201818.118,222765.27756,1487959.6616,42908.75956
"62","T03","1999",1956952.26416,3426919.57208,12138042.196,219841.38688,1510501.0518,40384.71488
"63","T03","2000",1986615.8984,3443938.4022,12074266.274,216917.4962,1533042.442,37860.6702
"64","T03","2001",2016279.53264,3460957.23232,12010490.352,213993.60552,1555583.8322,35336.62552
"65","T03","2002",2045943.16688,3477976.06244,11946714.43,211069.71484,1578125.2224,32812.58084
"66","T03","2003",2075606.80112,3494994.89256,11882938.508,208145.82416,1600666.6126,30288.53616
"67","T03","2004",2105270.43536,3512013.72268,11819162.586,205221.93348,1623208.0028,27764.49148
"68","T03","2005",2134934.0696,3529032.5528,11755386.664,202298.0428,1645749.393,25240.4468
"69","T03","2006",2164597.70384,3546051.38292,11691610.742,199374.15212,1668290.7832,22716.40212
"70","T03","2007",2194261.33808,3563070.21304,11627834.82,196450.26144,1690832.1734,20192.35744
"71","T03","2008",2223924.97232,3580089.04316,11564058.898,193526.37076,1713373.5636,17668.31276
"72","T03","2009",2253588.60656,3597107.87328,11500282.976,190602.48008,1735914.9538,15144.26808
"73","T03","2010",2283252.2408,3614126.7034,11436507.054,187678.5894,1758456.344,12620.2234
"74","T03","2011",2312915.87504,3631145.53352,11372731.132,184754.69872,1780997.7342,10096.17872
"75","T03","2012",2342579.50928,3648164.36364,11308955.21,181830.80804,1803539.1244,7572.13404
