"","SITECODE","LCODE","SDATE","Q1","Q2","ALKY","SODIUM","SO4S","TOTALN","ALUMINIUM","CALCIUM","CHLORIDE","CONDY","DOC","IRON","MAGNESIUM","NH4N","NO3N","PH","PHAQCS","PHAQCU","PO4P","POTASSIUM","MINTMP","MAXTMP","DEPTH","SPAWNDATE","SURFAREA","PERCDEAD","NEWMASS","HATCHDATE","CONGDATE","PH1","PH2","PH3","LEAVEDATE","Q3","TOTALP","COLOUR","PH4","PH5","PH6","Q4","survey_yearday","survey_year","spawn_yearday","spawn_year","hatch_yearday","hatch_year","cong_yearday","cong_year","leave_yearday","leave_year","nh4n_numeric","no3n_numeric","surfarea_numeric","percdead_numeric"
"1","T08",1,"01-Jan-94","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","T01",1,"01-Jan-94","175","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","T02",2,"01-Jan-94","175","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","T02",1,"01-Jan-94","175","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","T04",3,"01-Jan-94","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","T03",1,"01-Jan-94","175","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","T04",1,"01-Jan-94","175","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","T04",2,"01-Jan-94","175","177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","T05",1,"05-Jan-94",NA,NA,NA,"5.602","0.63",NA,NA,"3.848","9.391",NA,NA,NA,"1.361","0","0.009","6.03",NA,NA,"0","0.914",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,1994,NA,NA,NA,NA,NA,NA,NA,NA,0,0.009,NA,NA
"10","T05",1,"12-Jan-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2.5","9","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","T05",1,"19-Jan-94",NA,NA,NA,"5.216","0.523",NA,NA,"4.775","9.167",NA,NA,NA,"1.737","0","0.02","6.14",NA,NA,"0","0.623","2.5","9.1","17",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,1994,NA,NA,NA,NA,NA,NA,NA,NA,0,0.02,NA,NA
"12","T05",1,"22-Jan-94",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"22-Jan-94",NA,"0","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1994,21,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"13","T05",1,"23-Jan-94","173",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"14","T05",1,"24-Jan-94","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0
"15","T05",1,"26-Jan-94","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3","10","17.5",NA,"4.5","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,0
"16","T05",1,"31-Jan-94","172",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"0","50",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
