"","year","tmax","tmin","af","rain","sun","location"
"1",1853,NA,NA,NA,NA,NA,"T01"
"2",1854,16.475,6.55,2.875,34.3,NA,"T01"
"3",1855,15.0375,6.0625,5.875,54.625,NA,"T01"
"4",1856,15.6125,6.9,2.875,59.375,NA,"T01"
"5",1857,16.3625,7.4875,3.5,59.875,NA,"T01"
"6",1858,16.05,6.8875,4,51.6875,NA,"T01"
"7",1859,16.8125,8.0375,2.125,63.5125,NA,"T01"
"8",1860,13.875,5.925,4.125,64.75,NA,"T01"
"9",1861,15.6375,7.725,1.375,52.3875,NA,"T01"
"10",1862,15.425,7.9125,1.5,62.5875,NA,"T01"
"11",1863,16.075,6.7375,2.25,41.7625,NA,"T01"
"12",1864,16.175,6.4875,3,41.0125,NA,"T01"
"13",1865,16.6375,7.3125,3.625,50.1,NA,"T01"
"14",1866,15.75,7.0625,3.125,70.4125,NA,"T01"
"15",1867,15.8875,7.475,2.5,61.7375,NA,"T01"
"16",1868,18.325,7.825,2,49.225,NA,"T01"
"17",1869,16.575,7.7375,1.375,50.3625,NA,"T01"
"18",1870,16.7375,6.9125,4,33.075,NA,"T01"
"19",1871,16.5,7.575,1.5,54.6125,NA,"T01"
"20",1872,16.725,7.8875,1.375,50.8125,NA,"T01"
"21",1873,15.4875,6.7375,2.5,51.65,NA,"T01"
"22",1874,16.875,7.2375,2.75,36.65,NA,"T01"
"23",1875,15.9125,7.3875,4,55.1625,NA,"T01"
"24",1876,16.45,7.4,2,68.175,NA,"T01"
"25",1877,15.5875,7.1375,2,58.1875,NA,"T01"
"26",1878,16.65,8.3125,2,60.25,NA,"T01"
"27",1879,13.35,6.5875,3.625,78.3,NA,"T01"
"28",1880,15.8375,7.8625,1.625,63.75,NA,"T01"
"29",1881,15.7375,7.0875,3.625,53.1375,NA,"T01"
"30",1882,15.95,7.6625,0.875,58.1125,NA,"T01"
"31",1883,15.525,7.2375,3.25,61.175,NA,"T01"
"32",1884,16.7125,7.625,1.75,39.1375,NA,"T01"
"33",1885,15.55,6.7625,2.25,49.775,NA,"T01"
"34",1886,15.0375,6.875,5.125,57.4375,NA,"T01"
"35",1887,15.6125,6.2,4.375,36.55,NA,"T01"
"36",1888,13.825,6.1625,5.375,63.175,NA,"T01"
"37",1889,15.0875,6.975,3.75,61.6625,NA,"T01"
