"","year","tmax","tmin","af","rain","sun","location"
"1",1853,NA,NA,NA,NA,NA,"T01"
"2",1854,7.4,0.75,12.5,24.6,NA,"T01"
"3",1855,5.525,-0.675,15.25,31.825,NA,"T01"
"4",1856,7.15,1.375,10.5,40.025,NA,"T01"
"5",1857,7.275,0.75,12.5,45.025,NA,"T01"
"6",1858,7.525,1.075,13.25,24.875,NA,"T01"
"7",1859,8.825,2.9,5,39.15,NA,"T01"
"8",1860,6.35,-1.11022302462516e-16,13.5,52.6,NA,"T01"
"9",1861,6.55,NA,NA,43.625,NA,"T01"
"10",1862,7.575,2.75,7,62.575,NA,"T01"
"11",1863,9.2,2.725,4.5,38.125,NA,"T01"
"12",1864,7.25,1.125,10.75,38.075,NA,"T01"
"13",1865,5.325,0.1,13.25,41.35,NA,"T01"
"14",1866,8.325,2.475,7.25,59.7,NA,"T01"
"15",1867,7.475,1.775,10.5,57.525,NA,"T01"
"16",1868,8.25,2,10,50.975,NA,"T01"
"17",1869,9.05,3.6,4.5,72.475,NA,"T01"
"18",1870,6.225,1.15,11.25,52.25,NA,"T01"
"19",1871,6.7,0.875,11.75,32.125,NA,"T01"
"20",1872,8.8,2.95,6.25,54.7,NA,"T01"
"21",1873,7.4,2.2,7.75,63.55,NA,"T01"
"22",1874,8.5,2.3,9,32.525,NA,"T01"
"23",1875,6.475,1.15,13.25,50.75,NA,"T01"
"24",1876,7.1,1.975,9,56.65,NA,"T01"
"25",1877,9.125,3.575,4.75,84.775,NA,"T01"
"26",1878,8.4,2.825,7,35.65,NA,"T01"
"27",1879,4.825,-0.65,16.5,55.5,NA,"T01"
"28",1880,6.85,-0.2,14.5,31.5,NA,"T01"
"29",1881,6.925,0.8,11.5,53.875,NA,"T01"
"30",1882,9.15,3.1,4.75,42.725,NA,"T01"
"31",1883,8.125,2.15,8.5,64.3,NA,"T01"
"32",1884,9.15,3.475,3.25,34.65,NA,"T01"
"33",1885,7.875,2.2,8,50.95,NA,"T01"
"34",1886,5.525,0.3,15.75,46.025,NA,"T01"
"35",1887,6.25,-0.1,14.5,61.75,NA,"T01"
"36",1888,5.575,0.3,17.25,51.1,NA,"T01"
"37",1889,6.875,0.85,13.5,42.75,NA,"T01"
"38",1890,7.675,1.575,9,30.425,NA,"T01"
"39",1891,5.325,-1.3,17.75,22.65,NA,"T01"
"40",1892,6.35,0.325,14.75,31.55,NA,"T01"
"41",1893,7.7,0.825,12.25,36.8,NA,"T01"
"42",1894,8.575,1.725,6.5,45.9,NA,"T01"
"43",1895,5.6,-0.575,15.5,40.625,NA,"T01"
"44",1896,8.35,2.5,5.75,38.1,NA,"T01"
"45",1897,7.5,2.425,7.75,63.9,NA,"T01"
"46",1898,8.3,2.175,9.25,32.2,NA,"T01"
"47",1899,9.675,2.625,8.75,49.775,NA,"T01"
"48",1900,6.35,0.875,10.25,52.9,NA,"T01"
"49",1901,7.175,1.825,9.5,44.425,NA,"T01"
"50",1902,7.475,1.7,11,39.575,NA,"T01"
"51",1903,8.875,3.425,4,49.05,NA,"T01"
"52",1904,6.8,1.525,8.75,52,NA,"T01"
"53",1905,8.05,2.275,7.5,38.175,NA,"T01"
"54",1906,7.825,2.025,7.25,46.75,NA,"T01"
"55",1907,7.725,0.95,11,28.425,NA,"T01"
"56",1908,7.55,1.7,7.75,57.5,NA,"T01"
"57",1909,6.575,0.825,10.75,36.275,NA,"T01"
"58",1910,8.3,2.05,8,52.25,NA,"T01"
"59",1911,7.9,2.775,4.5,55.825,NA,"T01"
"60",1912,8.875,3.75,4,93.975,NA,"T01"
"61",1913,8.975,3.3,4.75,63.975,NA,"T01"
"62",1914,8.5,2.775,7.75,45.375,NA,"T01"
"63",1915,7.925,2.125,7.5,88.45,NA,"T01"
"64",1916,8.075,2.7,6.25,98.575,NA,"T01"
"65",1917,4.625,-0.475,16.75,46.575,NA,"T01"
"66",1918,7.8,1.65,10.75,35.45,NA,"T01"
"67",1919,6.725,1.4,10,74.65,NA,"T01"
"68",1920,9.775,3.125,4.5,56.125,NA,"T01"
"69",1921,9.275,3.225,4.75,39.85,NA,"T01"
"70",1922,8.325,2.025,9.25,52.25,NA,"T01"
"71",1923,8.85,3.35,2,66.275,NA,"T01"
"72",1924,7.75,1.05,13,42.7,NA,"T01"
"73",1925,8.85,2.65,5.5,62.325,NA,"T01"
"74",1926,8.575,2.475,6.75,55.85,NA,"T01"
"75",1927,8.3,2.2,7.5,57.55,NA,"T01"
"76",1928,8.475,2.025,7,67.05,NA,"T01"
"77",1929,6.625,-0.95,16.5,25.275,NA,"T01"
"78",1930,8.35,2.225,7.25,62.35,70.225,"T01"
"79",1931,7.525,1.075,11.25,40.1,75.325,"T01"
"80",1932,8.15,1.575,10.75,31.25,70.2,"T01"
"81",1933,8.575,1.875,10.25,52.85,102.35,"T01"
"82",1934,7.025,0.175,12.5,27.125,86,"T01"
"83",1935,9.55,3.525,3.75,54.875,65.725,"T01"
"84",1936,7.5,1.6,10.75,61.3,63.225,"T01"
"85",1937,8.525,2.25,7,83.325,69.875,"T01"
"86",1938,9.625,2.6,6.25,36.5,80.4,"T01"
"87",1939,8.425,2.35,6.25,63.275,72.475,"T01"
"88",1940,5.975,-0.325,14.25,57.65,70.05,"T01"
"89",1941,6.575,0.575,12.25,56.4,68.7,"T01"
"90",1942,6,0,15,48.6,53.825,"T01"
"91",1943,9.725,3.125,5,56.425,79.475,"T01"
"92",1944,8.05,1.45,9.5,23,73.95,"T01"
"93",1945,8.3,1.85,9,39.4,83.475,"T01"
"94",1946,8.25,1.975,8,51.15,70.6,"T01"
"95",1947,4.65,-0.95,17,66.1,57.85,"T01"
"96",1948,9.775,2.925,6.25,53.325,84.175,"T01"
"97",1949,9.25,2.45,6.75,40.275,86,"T01"
"98",1950,9.425,2.8,6,43.75,78.075,"T01"
"99",1951,6.425,1.075,10.25,72.25,63.85,"T01"
"100",1952,8.1,1.875,8.75,40.15,91.4,"T01"
"101",1953,7.375,0.4,14.25,33.65,84.2,"T01"
"102",1954,7.925,2.1,7.5,43.775,72.925,"T01"
"103",1955,6.75,0.8,13.25,46.725,85.575,"T01"
"104",1956,7.35,0.475,12,51.825,81.55,"T01"
"105",1957,9.875,3.9,5.25,59.125,65.575,"T01"
"106",1958,7.7,1.45,10.75,63.65,70.75,"T01"
"107",1959,7.7,1.875,9,66.6,70.7,"T01"
"108",1960,8.25,2.7,5.25,70.45,60.775,"T01"
"109",1961,9.275,3.15,2.5,62.875,84.1,"T01"
"110",1962,6.9,0.55,12,58.8,85.85,"T01"
"111",1963,3.875,-1.85,18.75,41.15,70.925,"T01"
"112",1964,6.275,1.425,9.75,36.6,52.55,"T01"
"113",1965,7.225,1.05,12.5,37.425,75.9,"T01"
"114",1966,8.2,2.75,6,52.775,69.35,"T01"
"115",1967,9.075,3.175,4,52.725,92.175,"T01"
"116",1968,7.475,1.875,10.25,41.875,80.775,"T01"
"117",1969,6.3,1.225,10.25,56.675,56.125,"T01"
"118",1970,6.7,1.075,10.5,58.625,76.7,"T01"
"119",1971,7.625,2,9,51.05,65.35,"T01"
"120",1972,8.475,2.975,3.5,49.625,60.725,"T01"
"121",1973,8.55,2.25,6.75,31.05,77.8,"T01"
"122",1974,8.9,2.85,5.25,52.575,69.8,"T01"
"123",1975,9.025,3.7,2.75,56.925,58.5,"T01"
"124",1976,8.125,2.275,9.25,18.85,63.775,"T01"
"125",1977,7.35,1.975,8,87.975,63.9,"T01"
"126",1978,7.85,2.075,7.75,58.475,71.45,"T01"
"127",1979,5.625,0.075,13.75,83.2,66.625,"T01"
"128",1980,8.05,2.25,7.5,68.5,72.3,"T01"
"129",1981,8.275,2.975,7.5,55.675,62.1,"T01"
"130",1982,6.825,0.875,9.5,64.85,72.75,"T01"
"131",1983,8.15,2.3,8,43.6,69.7,"T01"
"132",1984,7.7,2.025,5.75,54.25,65.95,"T01"
"133",1985,6.65,0.35,13.75,40.075,74.775,"T01"
"134",1986,6.575,1.05,10.5,60.175,79.775,"T01"
"135",1987,6.875,1.225,11.75,40.5,78.25,"T01"
"136",1988,8.6,3.275,5,54.725,69.875,"T01"
"137",1989,10.275,4.15,2.5,37.225,80.7,"T01"
"138",1990,10.55,4.525,1.75,82.275,81.15,"T01"
"139",1991,7.375,1.6,9.5,45.95,68.225,"T01"
"140",1992,8.2,2.5,8,29,61.45,"T01"
