yyyy,mm,tmax,tmin,af,rain,sun
1961,7,14.4,8.7,0,NA,NA
1961,8,15.9,8.7,0,NA,NA
1961,9,15.8,8.5,0,NA,NA
1961,10,12.1,5.8,0,NA,NA
1961,11,NA,NA,NA,NA,NA
1961,12,5.4,0,15,NA,NA
1962,1,6.8,0.5,7,NA,NA
1962,2,7,1.5,5,NA,NA
1962,3,5.3,-1.5,19,NA,NA
1962,4,10.2,2,3,NA,NA
1962,5,12,4.6,0,NA,NA
1962,6,15.1,7.3,0,NA,NA
1962,7,15.4,8.5,0,NA,NA
1962,8,15.3,8.8,0,NA,NA
1962,9,13.5,7.8,0,NA,NA
1962,10,12.3,7,0,NA,NA
1962,11,8.1,3,2,NA,NA
1962,12,6.5,2,6,NA,NA
1963,1,2.6,-1.4,22,NA,NA
1963,2,3.1,-1.6,20,NA,NA
1963,3,8.6,2.1,6,NA,NA
1963,4,9.6,3.7,2,NA,NA
1963,5,11.8,4.6,0,NA,NA
1963,6,16,8.7,0,NA,NA
1963,7,16.1,9.1,0,NA,NA
1963,8,14.9,9.1,0,NA,NA
1963,9,14.4,8.3,0,NA,NA
1963,10,12.6,7.3,0,NA,NA
1963,11,9.1,3.9,4,NA,NA
1963,12,6.1,1.8,7,NA,NA
1964,1,7.1,2.9,0,NA,NA
1964,2,6.5,2,8,NA,NA
1964,3,6.3,2,6,NA,NA
1964,4,10.9,4.2,2,NA,NA
1964,5,14.8,6.7,0,NA,NA
1964,6,14.2,8.3,0,NA,NA
1964,7,15.8,9.6,0,NA,NA
1964,8,16,9.4,0,NA,NA
1964,9,15.1,9,0,NA,NA
1964,10,11.4,6,0,NA,NA
1964,11,9.8,3.9,3,NA,NA
1964,12,6.3,0.8,10,NA,NA
1965,1,5.1,0.3,13,NA,NA
1965,2,6,0.5,10,NA,NA
1965,3,7.2,1.2,9,NA,NA
1965,4,10,3.2,1,NA,NA
1965,5,12.8,6,2,NA,161
1965,6,15.4,8.3,0,NA,148.7
1965,7,14.1,8.2,0,NA,160.8
1965,8,15.3,8.4,0,NA,160.9
1965,9,13.7,7.4,0,NA,100
1965,10,12.4,7.4,0,NA,88
1965,11,6.3,1.9,10,NA,61.9
1965,12,6.6,1.3,6,NA,37.4
1966,1,5.3,1.4,11,NA,30.4
1966,2,6,1.7,9,NA,41.6
1966,3,9,3,4,NA,103.1
1966,4,8.4,2.7,6,NA,108.3
1966,5,12.8,5.7,0,NA,204.3
1966,6,15.7,9.5,0,NA,107.9
1966,7,15.7,9.1,0,NA,166.4
1966,8,15.3,8.6,0,NA,164.8
1966,9,15.2,8.7,0,NA,100.6
1966,10,10.9,5.4,1,NA,94.2
1966,11,7.5,2.5,2,NA,54
1966,12,7.2,2.2,5,NA,31
1967,1,7,2.4,3,NA,52.6
1967,2,7.1,2.1,2,NA,73.8
1967,3,7.9,2.3,4,NA,99.6
1967,4,9.5,3.1,5,NA,127.6
1967,5,10.8,4.7,2,NA,172.6
1967,6,15.5,7.3,0,NA,189.9
1967,7,17,9.3,0,NA,119.8
1967,8,15.9,9,0,NA,133.7
1967,9,15,8.2,0,NA,126.3
1967,10,11.4,5.4,0,NA,94.1
1967,11,8.4,3,0,NA,53
1967,12,7,2.6,8,NA,33.9
1968,1,6.9,1.9,6,NA,30.4
1968,2,4.3,-1.1,18,NA,87.2
1968,3,7.9,1.8,8,NA,86.3
1968,4,10.4,2.8,7,NA,202.4
1968,5,10.6,3.8,1,NA,164.9
1968,6,16.3,7.3,0,NA,218.8
1968,7,15.3,7.9,0,NA,183.8
1968,8,17.2,8.4,0,NA,213.6
1968,9,14.6,8.8,0,NA,112.7
1968,10,13.8,8.4,0,NA,66.3
1968,11,8.4,4,2,NA,41.4
1968,12,6.4,1.8,10,NA,34.4
1969,1,6.6,2.3,6,NA,25.3
1969,2,3.2,-1.4,18,NA,48.8
1969,3,5.4,-0.4,15,NA,97.7
1969,4,9.5,2.2,5,NA,195.3
1969,5,12,5.3,1,NA,163.7
1969,6,15.8,7.3,0,NA,228.1
1969,7,17.8,10.1,0,NA,148.6
1969,8,16.4,10.7,0,NA,111.3
1969,9,14.8,8.8,0,NA,74.3
1969,10,14.7,9.1,0,NA,74
1969,11,6.6,1.2,9,NA,40.4
1969,12,6.5,1.7,8,NA,27
1970,1,6.4,1.8,9,NA,34.7
1970,2,4.7,-1,18,NA,79.5
1970,3,6.2,0.7,13,NA,94.6
