ID,aberporth,armagh,ballypatri,bradford,braemar,camborne,cambridge,cardiff,chivenor,cwmystwyth,dunstaffna,durham,eastbourne,eskdalemui,heathrow,hurn,lerwick,leuchars,lowestoft,manston,nairn,newton,oxford,paisley,ringway,ross,shawbury,sheffield,southampto,stornoway,sutton,tiree,valley,waddington,whitby,wick,yeovilton
T01,192067.285455118952086,404771.206649963860400,440830.326179684896488,180261.998989755898947,545999.313355388352647,332223.978050920704845,127525.697539390603197,125788.320229789649602,205875.463184893073048,140152.078695049684029,530604.753567338921130,286762.284441720577888,213869.896159238036489,359814.788665082596708,120546.422916402778355,157463.569374537037220,885458.993467894499190,471124.055196150031406,240304.985039168503135,234091.172418938280316,615296.136446862248704,283897.532296226767357,59329.487531326638418,442357.207202274876181,133954.430025692214258,64206.837108206134872,90389.091179859198746,133424.665728362451773,146202.065002929331968,729885.664592553628609,79260.534027202738798,583134.720552034093998,221465.622412167111179,137865.298287240380887,265695.745012808765750,701996.418733598780818,145413.830286195239751
T02,546730.538171415217221,384075.914466044632718,295368.165498276648577,348206.616380619758274,52631.267837442137534,766946.907453823834658,546703.478656700579450,604862.526242474443279,656209.419100451166742,512935.114284630632028,184139.801075547176879,246079.757072690641508,709209.420009847148322,182573.756647831032751,619770.495460362755693,683958.487301995279267,368580.628926030825824,62126.250244006274443,564555.478523957775906,669224.891294569126330,107910.767032848103554,249756.964709877560381,579191.909090514294803,165733.317179079371272,395942.777567601471674,556388.811332169105299,458117.695937938580755,398571.956540823739488,673217.616238880436867,268156.567129615810700,461379.509341394936200,268861.651128412224352,426358.861444031470455,435491.751906911144033,296419.571419932646677,175009.333777785126586,657085.989319323562086
T03,276466.695516747247893,38806.135545323173574,81093.996330222071265,290417.293714444967918,330230.616264008800499,474043.152024296752643,478990.832693864183966,382754.013928296160884,396356.450319395284168,278042.236138293112163,225985.630100803886307,292680.051955044211354,595272.661976274685003,207342.228623065515421,502297.928350057918578,499776.134277460048907,698250.976870778948069,295614.428940906829666,562584.167970522306859,606759.488473962759599,376815.916317081311718,214046.121609617781360,440168.921388871618547,187233.739662144944305,277857.111931795021519,367002.657420038885903,291902.885641177825164,324153.346721767855342,505935.847832083294634,418988.598153918457683,366593.031781301251613,233429.275373447511811,167656.797907955420669,392633.560673460422549,353822.816692527383566,481959.866216196969617,448344.243076486804057
T04,319281.377938598860055,278557.542867478565313,247084.620775941148167,106067.826210014623939,265005.144574416743126,536728.568296881974675,318766.819550448388327,360936.380438701773528,418453.154801494616549,276414.029486758576240,274303.355106922099367,52665.855935362742457,473528.240356877679005,86432.144124234953779,380715.408654752012808,437409.893735578691121,610633.905236855614930,189669.544541242852574,367245.681169524323195,448728.922868875728454,334712.442902987997513,26092.595844771865814,335117.337780388479587,182347.861327489488758,149205.250153843051521,310129.010440657613799,212305.541140247893054,157635.682501101604430,427619.482532385329250,460594.275579389533959,220388.109621161449468,347134.437676494475454,213817.596493595337961,208951.344207666086731,116743.191556748293806,420792.208780942950398,410890.584856411267538
T05,157682.324230381316738,438323.027638623316307,511915.794802869495470,367754.419145127409138,693628.358327316469513,118206.130160516651813,322887.633752516005188,93629.738620599979185,37851.475091239226458,175589.978853018837981,638880.186888544703834,470742.931029113824479,296792.048160798323806,506278.244499560445547,254804.404884225019487,147243.828540111397160,1055876.327456553932279,626700.999967226991430,434300.616098455036990,373800.126883297751192,758182.745584448683076,439327.878516904835124,215078.623566183057847,564592.350734699051827,307650.408104071684647,156413.775730892230058,240155.427746344881598,333647.160929494653828,177111.873477128159720,841672.985942165018059,293138.330678736325353,665749.689868698595092,278205.972420395235531,354075.362694053968880,468165.842517393117305,855714.350763171329163,93295.790887370778364
T06,290828.442680920648854,507107.168752050318290,536628.141779608442448,242715.760595900414046,611440.791577339754440,389968.569680050713941,58881.791796134028118,198145.298619934619637,274357.351767730200663,242918.770476311212406,613895.999728724593297,339599.729581665014848,124765.221830323018366,433230.183947867364623,36512.579567893466447,152724.466291671327781,929499.662116714054719,534423.039569549378939,162595.879833791055717,129163.831925843871431,681521.522604215540923,357481.625674427079502,61430.071283037883404,523054.536575270583853,215788.824886815535137,152552.158971317228861,191066.966963649378158,191193.167235998291289,123950.456537372825551,808028.812063600053079,129266.220436739095021,673246.195303492015228,325497.909541569009889,152973.178383172373287,298424.260538438509684,760255.436801522737369,181007.242951957334299
T08,225834.560792387899710,456711.396583064168226,495039.429036618617829,228046.220641704916488,596788.772620117757469,329871.090956182626542,111274.221273736635339,132453.242681988805998,210296.785944171424489,180748.377666939602932,584698.170493215788156,332797.756374844058882,160419.778056996001396,411999.360127924999688,69957.876687887386652,116708.430538511194754,930672.053528797230683,521202.127848806616385,223977.933461535052629,191751.890614064264810,666388.108783020055853,335824.329535463359207,5704.438913502320247,496041.356516384694260,186573.397930616338272,86943.881749488282367,144478.657023166277213,178340.558264101971872,98361.590313406093628,783424.288857677485794,117204.536821597459493,637654.792976118391380,272198.784781897964422,164720.728718547848985,304229.268530080444179,751184.503898700000718,125212.140716594294645
T09,278953.191212900856044,528188.276137480977923,570437.306963339447975,302220.796959433471784,672037.219373895670287,332366.022565676248632,138403.266461763443658,166394.206984554388328,230229.363591164757963,243000.824623724474804,661771.000521441106685,404990.683231467730366,92045.600585662949015,488339.240424625400919,46161.726606386604544,79744.089653294009622,1000539.376575926668011,595984.022292575100437,231986.462712825916242,155279.256383321800968,741817.924876881646924,412092.907838240964338,72877.784602132160217,573056.213542867219076,263374.979602621810045,145852.877547246782342,220304.719436148414388,251422.636421520757722,47800.536312651158369,860372.288078115903772,188660.515450405422598,714220.616924635716714,342971.965489156136755,226059.958730088575976,370520.616459715005476,824991.998044033767655,125611.144307680093334
T10,232022.058762176224263,493058.649601113691460,542483.541661085095257,299071.143244260339998,664399.095155121176504,279747.295291037415154,173052.422827527130721,115317.781252810935257,175850.262491607747506,202544.204722690250492,643040.685232381336391,405200.275775494286790,141575.745770255394746,477279.416536839504261,91736.441026336848154,40962.156144150503678,1003814.068396920105442,589874.889376670005731,277076.890433207852766,209511.390823450783500,733468.200632011052221,401787.508868080854882,75293.285395591941779,556742.575996962958016,251855.388857333833585,108922.214230083161965,198332.673745507578133,251023.329459570843028,30121.999467727247975,844204.809663541847840,191717.579766733513679,690033.948120156768709,308609.148200256517157,240431.949612096272176,379490.090496548742522,820915.775242462521419,71398.601113431854174
T11,110253.162205129381618,223737.437671035993844,272180.657411467167549,171402.763718036905630,439543.181996115949005,330252.379794841748662,294478.153346852399409,185702.921253762848210,221113.027702701161616,81266.039872595865745,386542.113691948470660,247971.658272335684160,393215.771377390949056,254668.317817223112797,302191.831811978947371,296984.504015368293040,805780.743553826468997,375352.128067465790082,394334.429781449318398,414474.504283186339308,503218.379260359797627,195491.857128323084908,238678.863358900271123,309512.532708992832340,121251.397416894804337,162835.604644134611590,97474.267246870556846,173244.325228521600366,301820.281062435940839,589926.087654094677418,188983.871856643323554,422920.875212705286685,39232.888178774068365,235448.764032354054507,274060.604926271480508,601844.864219806739129,249236.919620133965509
