fid,DN,area
1,"6",3751.270
2,"6",28134.319
3,"6",625.208
4,"6",625.208
5,"6",58144.372
6,"4",102535.823
7,"5",9378.343
8,"6",5001.779
9,"4",13129.690
10,"0",1329002.421
11,"0",1359628.549
12,"6",118164.329
13,"6",12504.062
14,"4",19381.656
15,"3",625.204
16,"3",5001.635
17,"4",95031.154
18,"5",8753.086
19,"4",522674.961
20,"1",10003.502
21,"1",10628.700
22,"1",3126.114
23,"6",25633.617
24,"1",61896.885
25,"3",625.219
26,"1",182564.009
27,"1",625.219
28,"0",1379453.249
29,"3",18024925.780
30,"0",1367570.853
