"","year","tmax","tmin","af","rain","sun","location"
"1",1853,NA,NA,NA,NA,NA,"T01"
"2",1854,11.42,2.7,6.8,37.94,NA,"T01"
"3",1855,8.36,0.56,13,30.46,NA,"T01"
"4",1856,9.96,3.08,6.6,61.4,NA,"T01"
"5",1857,10.04,2.32,9,41.94,NA,"T01"
"6",1858,9.9,2,10.4,46.46,NA,"T01"
"7",1859,11.4,3.88,5.2,42.66,NA,"T01"
"8",1860,9.6,2.1,9,49.9,NA,"T01"
"9",1861,9.94,3.06,5.4,32.1,NA,"T01"
"10",1862,10.76,4.98,4,72.3,NA,"T01"
"11",1863,11.64,3.56,4,35.04,NA,"T01"
"12",1864,10.46,2.68,7.4,44.16,NA,"T01"
"13",1865,10.26,2.52,8.6,47,NA,"T01"
"14",1866,10.84,3.2,6,56.76,NA,"T01"
"15",1867,10.3,3.44,7.6,61.7,NA,"T01"
"16",1868,12.26,4.06,5.4,44.56,NA,"T01"
"17",1869,11.46,4.34,3.2,58.06,NA,"T01"
"18",1870,10.58,2.72,8.4,32.26,NA,"T01"
"19",1871,10.88,3.38,6.4,31.14,NA,"T01"
"20",1872,11.66,4.26,3.2,60.92,NA,"T01"
"21",1873,10.12,2.92,5.8,45.76,NA,"T01"
"22",1874,11.62,3.7,5.6,38,NA,"T01"
"23",1875,10.82,3.64,6.8,47.78,NA,"T01"
"24",1876,10.12,3,6,59.56,NA,"T01"
"25",1877,10.86,3.84,3.8,64.46,NA,"T01"
"26",1878,11.52,4.58,4.8,56.62,NA,"T01"
"27",1879,7.72,1.4,11.2,60.62,NA,"T01"
"28",1880,10.36,2.7,7,35.42,NA,"T01"
"29",1881,9.8,1.92,9.8,38.32,NA,"T01"
"30",1882,12.12,4.54,2.6,48.42,NA,"T01"
"31",1883,11.1,3.54,5.8,50.1,NA,"T01"
"32",1884,11.72,4.18,2.8,37.36,NA,"T01"
"33",1885,10.18,2.96,6.4,50.2,NA,"T01"
"34",1886,8.86,2.14,11.2,68.12,NA,"T01"
"35",1887,9.1,1.58,10,41.04,NA,"T01"
"36",1888,8.66,2.04,12,49.6,NA,"T01"
"37",1889,9.62,2.72,8.8,56.12,NA,"T01"
"38",1890,10.8,3.16,5.2,32.52,NA,"T01"
"39",1891,9.28,1.32,10.6,33.42,NA,"T01"
"40",1892,9.9,1.66,12.6,18.48,NA,"T01"
"41",1893,12.7,3.1,6.8,29.3,NA,"T01"
"42",1894,11.12,3.2,4.4,44.42,NA,"T01"
"43",1895,9.4,1.44,10.8,32.18,NA,"T01"
"44",1896,11.76,4.02,3.6,23.9,NA,"T01"
"45",1897,10.12,3.56,4.6,49.94,NA,"T01"
"46",1898,10.8,3.46,6.2,32.2,NA,"T01"
"47",1899,11.24,3.34,6.6,44.14,NA,"T01"
"48",1900,9.88,2.76,6,47.04,NA,"T01"
"49",1901,9.98,2.56,7.6,36.16,NA,"T01"
"50",1902,10,2.96,7.4,28.8,NA,"T01"
"51",1903,11.14,4.2,3.6,66.36,NA,"T01"
"52",1904,10.18,3.46,5,56.72,NA,"T01"
"53",1905,10.8,3.62,4.2,34.86,NA,"T01"
"54",1906,10.72,3.04,6.2,43.18,NA,"T01"
"55",1907,10.64,2.92,6.4,36.48,NA,"T01"
"56",1908,10.08,3.04,7.6,55.78,NA,"T01"
"57",1909,10.44,2.12,8.6,38.7,NA,"T01"
"58",1910,10.84,3.56,5.4,51.24,NA,"T01"
"59",1911,10.72,3.8,4.6,36.6,NA,"T01"
"60",1912,11.72,4.6,3.4,60.96,NA,"T01"
"61",1913,11,4.14,3.8,67.04,NA,"T01"
"62",1914,11.8,3.88,4.6,44.84,NA,"T01"
"63",1915,10.74,3.16,5,63.44,NA,"T01"
"64",1916,10.9,3.84,4,68.8,NA,"T01"
"65",1917,8.88,1.74,12,39.5,NA,"T01"
"66",1918,11.22,3.78,5.4,49.16,NA,"T01"
"67",1919,9.66,2.34,9,62.36,NA,"T01"
"68",1920,11.92,4.6,3,46.72,NA,"T01"
"69",1921,12.4,4.3,2.8,32.32,NA,"T01"
"70",1922,10.84,2.9,7.8,54.8,NA,"T01"
"71",1923,10.78,3.96,2,58.64,NA,"T01"
"72",1924,10.6,2.98,8.6,55.72,NA,"T01"
"73",1925,11.06,3.54,4.4,52.76,NA,"T01"
"74",1926,11.5,4.26,2.4,64.04,NA,"T01"
"75",1927,11.42,3.76,4.4,56.88,NA,"T01"
"76",1928,11.88,3.74,4,43.7,NA,"T01"
"77",1929,9.76,0.94,13,21.6,136.02,"T01"
"78",1930,10.46,3.5,5,45.54,90.08,"T01"
"79",1931,10.2,2.98,7.2,46.44,104.32,"T01"
"80",1932,10.18,2.96,7.6,59.48,93.12,"T01"
"81",1933,11.64,3.32,7.8,52.78,134.82,"T01"
"82",1934,10.98,2.56,7.4,34.34,125.24,"T01"
"83",1935,11.08,3.6,4,41,109.48,"T01"
"84",1936,10.44,3.04,7,43.78,103.34,"T01"
"85",1937,11.32,4.16,4.2,83.24,101.06,"T01"
"86",1938,12.28,3.74,3.4,30.06,121.24,"T01"
"87",1939,11.38,4.02,3,57.3,118.82,"T01"
"88",1940,10.16,2.18,10.2,55.5,113.54,"T01"
"89",1941,9,1.92,9.2,52.56,95.42,"T01"
"90",1942,9.36,1.84,10.8,53.88,116.06,"T01"
"91",1943,12.78,4.48,3.6,44.58,135.52,"T01"
"92",1944,12,3.54,5.4,24.06,125.78,"T01"
"93",1945,12.26,4.08,5.8,40.74,127,"T01"
"94",1946,11.34,3.32,5.6,45.74,120.4,"T01"
"95",1947,9.08,2.1,11,61.1,90.9,"T01"
"96",1948,12.66,3.96,4.2,67.4,148.22,"T01"
"97",1949,12.02,3.82,4.6,37.44,138.88,"T01"
"98",1950,11.42,3.84,4.4,50.06,116.94,"T01"
"99",1951,9.7,2.88,4.4,74.78,110.52,"T01"
