"","year","tmax","tmin","af","rain","sun","location"
"1",1853,NA,NA,NA,NA,NA,"T01"
"2",1854,6.13333333333333,0.266666666666667,14,29.2666666666667,NA,"T01"
"3",1855,4.8,-0.933333333333333,15.3333333333333,23.7666666666667,NA,"T01"
"4",1856,6.9,1.63333333333333,10.3333333333333,45.4,NA,"T01"
"5",1857,6.66666666666667,0.4,13.3333333333333,46.9666666666667,NA,"T01"
"6",1858,6.9,1.06666666666667,13.6666666666667,26.3666666666667,NA,"T01"
"7",1859,8.03333333333333,2.3,5.33333333333333,39.4666666666667,NA,"T01"
"8",1860,5.66666666666667,-0.633333333333333,15.3333333333333,54,NA,"T01"
"9",1861,5.36666666666667,NA,NA,43.8,NA,"T01"
"10",1862,6.96666666666667,2.36666666666667,8,37.1333333333333,NA,"T01"
"11",1863,8.66666666666667,3,3,45.0666666666667,NA,"T01"
"12",1864,6.46666666666667,1.03333333333333,11.6666666666667,29.8666666666667,NA,"T01"
"13",1865,5.1,0.2,13.3333333333333,46.8333333333333,NA,"T01"
"14",1866,8.3,2.7,6.66666666666667,65.3666666666667,NA,"T01"
"15",1867,7.96666666666667,2.2,8.66666666666667,52.2333333333333,NA,"T01"
"16",1868,7.3,1.7,11.3333333333333,55.0666666666667,NA,"T01"
"17",1869,9.7,4.43333333333333,2.66666666666667,85.6,NA,"T01"
"18",1870,5.53333333333333,1.03333333333333,10.6666666666667,55.4666666666667,NA,"T01"
"19",1871,4.96666666666667,0.0999999999999999,14.3333333333333,34.7333333333333,NA,"T01"
"20",1872,8,2.73333333333333,5.66666666666667,56.5666666666667,NA,"T01"
"21",1873,6.63333333333333,2.2,9.33333333333333,64.7,NA,"T01"
"22",1874,7.66666666666667,2.03333333333333,9.33333333333333,38.1,NA,"T01"
"23",1875,5.76666666666667,0.733333333333334,14.6666666666667,58.1666666666667,NA,"T01"
"24",1876,6.6,2,9.33333333333333,46.4,NA,"T01"
"25",1877,9.16666666666667,4.03333333333333,3.33333333333333,96.2,NA,"T01"
"26",1878,8.03333333333333,3.03333333333333,6.33333333333333,41.0333333333333,NA,"T01"
"27",1879,3.56666666666667,-1.23333333333333,18.6666666666667,66.5666666666667,NA,"T01"
"28",1880,5.23333333333333,-1.1,17,30.2333333333333,NA,"T01"
"29",1881,5.8,0.366666666666667,11.6666666666667,59.2666666666667,NA,"T01"
"30",1882,8,2.8,5.33333333333333,47.5666666666667,NA,"T01"
"31",1883,8.43333333333333,3.26666666666667,4,77.7333333333333,NA,"T01"
"32",1884,8.56666666666667,3.63333333333333,3,33.1,NA,"T01"
"33",1885,7.36666666666667,2.53333333333333,7.33333333333333,58,NA,"T01"
"34",1886,4.76666666666667,-0.1,15.3333333333333,47.4333333333333,NA,"T01"
"35",1887,5.9,-0.1,15,67.1,NA,"T01"
"36",1888,5.13333333333333,0.1,18,42.2666666666667,NA,"T01"
"37",1889,6.16666666666667,0.666666666666667,14,40.2,NA,"T01"
"38",1890,6.86666666666667,1.23333333333333,10.3333333333333,33.2666666666667,NA,"T01"
"39",1891,4.46666666666667,-2.03333333333333,19.3333333333333,18.4,NA,"T01"
